"","ACCOUNT_KEY","SEASON_YEAR","ACCOUNT_TYPE","sum(TICKET_SOLD)","sum(FLEX_PLAN_TICKET_SOLD)","sum(FULL_PLAN_TICKET_SOLD)","sum(FORTY_PLAN_TICKET_SOLD)","sum(GROUP_TICKET_SOLD)","sum(MINI_PLAN_TICKET_SOLD)","sum(SEASON_TICKET_SOLD)","sum(SINGLE_TICKET_SOLD)","sum(SIXPACK_PLAN_TICKET_SOLD)"
"16785",1426096,2024,"Individual",2,0,0,0,0,0,0,2,0
"16786",1426319,2021,"Individual",4,0,0,0,0,0,4,0,0
"16787",1426319,2023,"Individual",19,0,0,0,8,0,0,11,0
"16788",1426319,2024,"Individual",15,0,0,0,0,0,0,15,12
"16789",1426426,2021,"Individual",11,0,0,0,0,7,8,3,0
"16790",1426426,2022,"Individual",1,0,0,0,0,0,0,1,0
"16791",1426477,2021,"Individual",1,0,0,0,0,0,0,1,0
"16792",1426477,2024,"Individual",10,0,0,0,0,10,10,0,0
"16793",1426609,2021,"Individual",9,0,0,0,0,0,0,9,0
"16794",1426609,2023,"Individual",4,0,0,0,0,0,0,4,0
"16795",1426609,2024,"Individual",4,0,0,0,0,0,0,4,0
"16796",1426890,2021,"Individual",19,0,0,0,0,10,14,5,0
"16797",1426890,2023,"Individual",8,0,0,0,0,0,0,8,0
"16798",1427195,2024,"Individual",34,0,0,0,0,0,34,0,0
"16799",1427233,2021,"Individual",4,0,0,0,0,0,0,4,0
"16800",1427233,2022,"Individual",3,0,0,0,0,0,0,3,0
"16801",1427233,2023,"Individual",8,0,0,0,0,0,0,8,0
"16802",1427233,2024,"Individual",8,0,0,0,0,0,0,8,0
"16803",1427275,2021,"Individual",3,0,0,0,0,0,0,3,0
"16804",1427275,2023,"Individual",2,0,0,0,0,0,0,2,0
"16805",1427412,2021,"Individual",7,0,0,0,0,0,0,7,0
"16806",1427412,2023,"Individual",12,0,0,0,0,0,0,12,12
"16807",1427412,2024,"Individual",13,0,0,0,0,0,0,13,12
"16808",1427698,2024,"Individual",2,0,0,0,0,0,0,2,2
"16809",1427700,2021,"Individual",10,0,0,0,0,0,0,10,0
"16810",1427700,2023,"Individual",28,0,0,0,0,0,0,28,0
"16811",1427700,2024,"Individual",65,0,0,0,0,39,39,26,0
"16812",1427799,2021,"Individual",4,0,0,0,0,0,0,4,0
"16813",1427799,2023,"Individual",4,0,0,0,0,0,0,4,0
"16814",1427799,2024,"Individual",4,0,0,0,0,0,0,4,0
"16815",1427848,2021,"Individual",6,0,0,0,0,0,0,6,0
"16816",1427848,2022,"Individual",4,0,0,0,0,0,0,4,0
"16817",1427848,2023,"Individual",2,0,0,0,0,0,0,2,0
"16818",1427848,2024,"Individual",4,0,0,0,0,0,0,4,0
"16819",1427900,2021,"Business",4,0,0,0,0,0,4,0,0
"16820",1427957,2021,"Business",504,0,474,0,9,0,480,15,0
"16821",1427957,2022,"Business",458,0,448,0,0,0,456,2,0
"16822",1427957,2023,"Business",531,0,523,0,0,0,531,0,0
